,Unnamed: 0,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,agegroup,EducationLevel,placed
33,98916,1,1,4,3,1,65,127,1,14,123,163,5,5,1,5,5,0.0
34,48949,1,1,3,4,8,80,996,8,78,79,2790,1,24,1,5,2,0.0
35,149501,2,1,1,1,11,244,87,11,246,236,361,18,108,1,3,3,0.0
36,5275,1,1,3,1,13,50,59,13,51,51,1032,4,7,1,2,3,1.0
37,73743,2,1,3,1,13,76,59,13,74,180,2099,3,9,1,2,3,0.0
38,19296,1,1,3,3,13,306,59,13,106,435,1743,1,1,1,3,3,0.0
39,12410,2,1,3,4,11,141,59,11,138,134,179,3,9,1,3,3,1.0
40,82577,2,1,1,4,11,108,105,11,105,102,131,20,158,1,2,2,1.0
41,129197,1,1,3,3,13,421,45,13,414,428,1532,1,24,1,2,5,1.0
42,65175,1,1,4,3,9,386,383,9,38,38,2509,17,31,1,3,3,1.0
43,61237,2,1,4,1,8,91,42,8,89,88,910,1,103,1,2,3,0.0
44,9735,2,1,1,3,3,442,4,3,529,64,1820,5,66,1,3,3,0.0
45,128451,1,1,3,3,11,256,852,11,259,250,3942,7,62,1,3,3,1.0
46,75418,2,1,3,3,3,69,3,3,68,4,82,15,32,1,3,2,1.0
47,96743,2,1,1,4,8,205,783,8,502,33,1997,20,51,1,3,3,1.0
48,47540,1,1,1,1,17,235,30,17,237,227,346,17,72,1,2,3,1.0
49,145786,1,1,3,1,1,65,14,1,64,66,2112,1,24,1,4,2,0.0
50,96584,1,1,3,3,20,266,45,20,238,107,1087,7,10,12,6,2,0.0
51,58381,1,1,3,1,14,32,31,14,32,32,32,4,4,1,2,3,1.0
52,78611,1,1,1,3,5,157,426,5,155,150,7112,17,31,1,3,3,1.0
53,48453,1,1,4,3,5,115,885,5,112,442,2351,1,1,1,3,3,0.0
54,59302,2,1,1,1,9,218,38,9,216,291,497,24,67,6,3,3,1.0
55,125855,1,1,3,7,15,254,232,15,257,248,382,6,6,1,3,3,0.0
56,61914,1,1,4,3,9,518,24,9,24,24,24,18,37,1,2,2,0.0
57,91381,2,1,3,3,14,400,1945,14,455,414,6318,24,67,1,7,2,1.0
58,66721,1,1,1,3,16,219,836,16,217,210,7263,7,10,1,4,2,1.0
59,111547,1,1,1,3,1,65,566,1,64,66,1286,7,47,1,5,2,0.0
60,32254,2,1,1,3,11,21,64,11,21,21,1224,3,19,1,3,3,1.0
61,103713,1,1,3,3,4,37,178,4,37,37,1068,7,10,2,3,2,0.0
62,46779,2,1,3,1,14,51,54,14,52,52,56,4,4,1,1,2,1.0
63,121849,2,1,3,3,5,151,953,5,149,144,7716,5,5,1,4,5,1.0
64,33923,2,1,3,1,3,158,87,3,35,35,204,12,17,1,3,2,0.0
65,3036,1,1,3,3,3,41,524,3,41,41,1949,9,43,1,3,3,0.0
66,55296,2,1,1,5,5,281,64,5,278,265,430,12,17,1,4,3,1.0
67,56765,2,1,3,3,21,522,2169,21,512,456,7061,22,91,6,3,4,1.0
68,21606,2,1,3,5,13,122,59,13,118,115,150,1,24,1,3,2,0.0
69,148618,2,1,3,3,6,140,337,6,137,133,3967,4,4,1,3,3,1.0
70,73701,1,1,3,1,24,319,87,23,320,302,529,6,55,1,3,3,1.0
71,92833,2,1,1,5,5,180,45,5,402,371,955,3,38,1,4,3,1.0
72,104618,2,1,3,3,3,158,27,3,276,41,1545,11,30,1,4,5,0.0
73,137481,1,1,1,3,8,407,1516,8,91,89,4698,7,11,1,3,2,1.0
74,75815,2,1,3,5,20,61,45,20,61,62,263,2,2,1,3,3,1.0
75,23564,2,1,4,1,15,254,87,15,257,248,1457,3,38,1,4,2,1.0
76,37235,2,1,1,1,6,10,195,6,10,10,3790,22,57,1,3,3,1.0
77,84842,2,1,1,3,5,346,11,5,190,334,907,3,3,1,3,5,1.0
78,66843,1,1,3,1,7,597,30,7,590,232,2393,1,8,1,5,2,0.0
79,102029,1,1,1,3,6,47,579,6,48,47,3704,3,9,1,2,5,0.0
80,25104,1,1,3,3,12,97,67,12,23,23,72,7,10,1,3,2,1.0
81,133430,2,1,1,3,6,8,526,6,8,8,1151,14,137,1,2,2,1.0
82,21883,1,1,3,3,8,149,639,8,147,142,1505,7,11,1,3,3,0.0
83,116131,1,1,1,3,8,418,87,8,556,143,2430,6,64,1,3,3,1.0
84,53096,1,1,3,3,13,579,92,13,570,495,2070,10,105,1,6,2,0.0
85,41248,1,1,3,3,11,295,130,11,295,279,468,17,31,1,3,2,1.0
86,47460,2,1,4,1,14,241,54,14,243,233,357,4,4,1,3,3,1.0
87,113585,2,1,4,1,14,311,47,14,312,296,503,12,17,13,2,2,1.0
88,13088,1,1,1,3,22,427,54,25,428,392,977,3,9,12,3,2,1.0
89,14432,1,1,1,1,5,31,30,5,31,31,31,1,59,1,3,2,0.0
90,40861,2,1,4,1,3,9,49,3,9,9,2635,9,35,1,2,3,1.0
91,109584,1,1,3,3,7,523,74,7,625,267,3527,17,72,1,2,3,1.0
92,105316,2,1,1,3,5,429,1104,5,350,366,6285,10,18,1,4,3,1.0
93,5467,1,1,3,4,15,344,209,15,223,216,325,1,24,1,3,2,1.0
94,138340,1,1,1,1,1,182,14,1,484,73,1353,6,41,1,3,5,1.0
95,105096,2,1,3,3,13,134,53,13,131,126,170,3,9,1,3,5,1.0
96,129155,1,1,3,3,25,117,113,24,114,111,144,27,126,1,4,2,0.0
97,50139,1,1,3,4,4,289,346,4,288,272,867,7,11,3,3,5,0.0
98,115117,1,1,3,3,12,30,547,12,174,201,1220,6,81,9,3,2,0.0
99,70249,2,1,1,3,9,77,81,9,75,211,668,19,104,1,3,4,0.0
100,1802,2,1,4,3,5,152,33,5,65,67,1332,3,9,9,3,3,1.0
101,128619,1,1,3,3,5,365,727,5,190,334,1828,17,160,1,3,3,0.0
102,79902,2,1,3,1,19,390,216,17,249,55,6393,10,116,1,7,2,1.0
103,133820,1,1,3,1,5,118,45,5,115,240,893,9,35,1,2,3,1.0
104,60605,1,1,3,4,13,419,59,13,331,311,891,7,52,1,4,2,0.0
105,135120,2,1,1,3,9,24,38,9,42,24,574,5,48,1,4,3,0.0
106,101659,2,1,1,3,8,343,90,8,342,318,1131,6,6,1,2,3,1.0
107,92255,1,1,4,1,16,219,135,16,487,210,1274,6,55,1,4,3,1.0
108,24207,1,1,1,3,8,149,639,8,147,142,1505,7,10,3,3,2,0.0
109,64632,1,1,1,3,5,109,107,5,107,104,134,3,9,1,2,3,0.0
110,10637,2,1,1,5,22,119,54,25,116,259,2072,3,19,1,1,3,0.0
111,90082,2,1,3,1,21,99,67,21,392,361,141,3,3,1,2,2,1.0
112,88620,2,1,3,3,8,16,1134,8,16,16,3357,3,9,1,2,3,1.0
113,54869,1,1,3,3,8,36,38,8,36,15,892,5,80,1,2,3,0.0
114,72030,2,1,4,1,11,530,54,11,522,463,1870,4,7,1,2,2,0.0
115,104968,2,1,1,3,5,66,33,5,65,67,2772,4,7,1,2,2,1.0
116,72043,2,1,2,1,8,534,11,8,148,143,5314,3,3,1,3,5,1.0
117,148311,1,1,1,1,14,40,54,14,40,270,446,3,38,1,2,2,0.0
118,33521,2,2,1,3,5,259,231,5,179,171,391,13,36,1,7,2,1.0
119,85768,2,1,3,3,15,44,159,15,45,44,1644,3,9,6,2,3,1.0
120,53140,1,1,3,3,12,23,8,12,23,23,6525,9,35,1,3,3,0.0
121,29380,1,1,4,3,15,344,67,15,223,216,5104,3,9,1,2,3,0.0
122,79971,1,1,3,5,18,338,1288,18,336,118,4414,11,79,1,3,3,1.0
123,34268,1,1,3,1,3,411,87,3,407,54,923,17,31,1,3,2,0.0
124,7166,2,1,3,3,13,26,1140,13,26,344,3371,12,17,1,3,3,1.0
125,66356,2,1,1,1,8,15,38,8,15,15,941,5,80,1,4,2,1.0
126,61934,2,1,4,3,1,72,45,1,341,317,1162,17,31,7,2,2,1.0
127,104897,2,1,1,3,5,348,227,5,361,93,371,11,30,1,4,5,1.0
128,80284,2,1,3,3,13,176,26,13,176,481,2029,10,65,1,3,2,0.0
129,50650,2,1,1,5,6,8,329,25,152,173,630,23,63,1,4,3,0.0
130,142761,2,1,3,4,8,300,265,8,301,89,3299,3,19,1,2,2,1.0
131,145720,2,1,4,3,11,198,135,11,194,188,270,9,36,6,3,2,0.0
132,12702,1,1,1,1,1,349,318,1,346,231,612,6,6,6,2,2,0.0
133,18989,1,1,3,7,15,207,496,15,239,186,3140,11,30,1,5,5,1.0
134,87060,1,1,4,1,11,391,118,11,387,357,152,8,28,1,1,5,1.0
135,2610,2,1,3,3,5,151,299,5,149,144,1280,3,9,1,5,3,0.0
136,15517,1,1,2,3,8,407,310,8,91,89,1167,7,10,1,3,2,1.0
137,43150,1,1,4,3,14,497,47,14,489,439,1315,1,54,1,4,2,0.0
138,3814,1,1,2,3,16,472,123,16,463,156,1134,31,157,1,3,3,1.0
139,105469,1,1,3,3,5,281,64,5,278,265,430,6,6,1,3,3,0.0
140,128270,2,1,4,3,5,171,408,5,39,39,6501,3,9,1,2,3,0.0
141,84908,2,1,3,3,12,23,23,12,23,23,871,8,12,1,2,2,1.0
142,13449,1,1,3,3,15,344,477,15,277,214,1007,4,4,1,3,5,1.0
143,60223,1,1,1,3,1,428,311,1,430,394,3594,9,36,1,2,2,1.0
144,131404,2,1,3,7,15,195,489,15,192,186,1978,11,30,1,4,5,1.0
145,131396,1,1,3,3,15,110,392,15,101,98,1901,1,1,2,7,5,0.0
146,37967,2,1,1,3,5,56,188,5,103,191,279,3,9,1,3,5,0.0
147,24747,2,1,4,3,22,153,149,25,151,146,197,9,35,9,2,3,1.0
148,108154,2,1,1,5,1,280,45,1,341,317,1162,14,137,1,3,5,0.0
149,32778,1,1,3,3,11,141,59,11,138,134,179,7,10,1,2,3,0.0
150,139671,2,1,3,3,5,56,2141,5,103,100,6967,3,45,1,3,5,0.0
151,3300,1,1,3,5,24,284,87,23,283,269,436,19,124,1,2,2,1.0
152,101974,2,1,1,3,11,244,1084,11,246,408,3143,3,9,8,5,5,1.0
153,114585,1,1,2,2,32,364,45,32,459,355,3180,11,30,1,3,5,1.0
154,100789,1,1,3,3,24,463,38,23,508,453,1631,1,54,1,2,2,0.0
155,53701,2,1,1,3,8,449,34,8,443,16,1325,11,30,1,4,5,1.0
156,15387,1,1,1,3,1,190,255,1,188,1,4164,1,1,1,2,2,0.0
157,83415,1,1,1,3,4,185,178,4,37,37,1068,7,10,2,4,2,0.0
158,54503,2,1,3,3,5,56,386,5,103,203,2213,3,19,1,4,3,0.0
159,30691,1,1,1,3,3,133,497,3,90,64,2083,1,24,1,7,2,1.0
160,52678,2,1,1,1,8,498,733,8,593,127,2514,15,32,1,1,2,1.0
161,88246,1,1,1,3,21,99,377,21,542,361,2001,4,4,1,4,3,0.0
162,117032,1,1,1,3,11,583,12,12,268,90,7460,7,10,1,4,3,1.0
163,125878,2,1,1,3,8,230,472,8,233,88,4115,10,116,1,3,3,0.0
164,116059,2,1,4,3,11,328,135,11,464,417,1135,9,21,1,2,3,0.0
165,145716,2,1,4,3,4,385,5,4,37,37,5,12,17,1,3,5,0.0
166,6603,2,1,3,3,8,449,90,8,269,258,481,10,18,1,4,2,1.0
167,6792,2,1,3,3,5,42,106,5,43,42,133,24,67,1,3,3,1.0
168,19099,2,1,1,5,5,221,61,5,219,212,318,3,3,1,3,3,0.0
169,115028,1,1,3,3,8,149,639,8,147,142,1505,7,11,1,6,2,1.0
170,125316,2,1,2,3,11,399,59,11,560,102,1923,9,35,1,2,3,1.0
171,118818,1,1,3,7,15,96,266,15,93,45,6044,4,4,1,4,3,1.0
172,126813,2,1,1,3,9,415,437,9,411,380,884,3,9,1,3,2,1.0
173,61856,2,1,1,3,8,407,397,8,301,89,1622,4,7,1,3,2,0.0
174,18602,2,1,1,3,3,69,552,3,68,4,1229,4,7,1,2,2,0.0
175,127698,2,1,1,3,15,110,102,15,101,98,126,11,30,1,4,5,0.0
176,114333,1,1,3,3,4,437,637,4,5,322,2467,21,95,1,3,3,0.0
177,134374,1,1,2,3,8,488,555,8,479,354,1234,1,1,1,3,2,0.0
178,62907,2,1,3,3,5,171,67,5,39,162,223,5,42,1,3,3,1.0
179,14737,2,1,3,7,15,314,108,15,317,268,1516,24,67,6,4,2,1.0
180,89186,1,1,3,3,20,113,923,20,110,174,6047,9,35,1,2,3,1.0
181,130038,2,1,3,1,11,440,59,11,433,397,1043,4,4,1,3,2,1.0
182,68168,1,1,3,5,33,382,23,21,439,403,1218,11,30,1,7,2,1.0
183,99627,1,1,3,1,14,51,698,14,52,52,2729,1,8,1,4,2,1.0
184,53616,1,1,4,3,22,225,45,25,225,146,1120,4,7,1,3,3,0.0
185,117182,2,1,3,3,5,259,293,5,179,171,1571,21,53,1,5,2,1.0
186,126226,1,1,1,3,9,500,208,9,24,24,2978,9,35,1,4,3,0.0
187,100120,1,1,1,3,1,190,212,1,188,182,1130,11,30,1,7,2,1.0
188,39046,2,1,1,3,22,225,45,25,225,146,1120,4,7,1,5,5,1.0
189,56700,2,1,1,4,5,294,61,5,279,266,125,9,13,1,2,3,1.0
190,40553,2,1,3,1,6,542,440,6,534,172,1686,15,222,1,2,3,1.0
191,22634,1,1,1,1,8,300,11,8,301,89,483,9,21,1,3,3,0.0
192,72201,1,1,3,3,13,122,59,13,118,115,150,7,52,1,4,6,1.0
193,19881,1,1,4,1,22,153,608,25,151,243,4979,1,1,1,3,2,0.0
194,55830,1,1,3,5,18,565,261,18,287,56,449,1,8,1,4,2,1.0
195,32215,2,1,4,7,15,344,362,15,223,216,701,23,63,1,3,2,1.0
196,18647,2,1,3,3,11,399,59,11,560,102,1923,2,2,1,4,5,0.0
197,145396,1,1,1,1,11,141,59,11,138,134,179,1,24,1,2,3,0.0
198,89,2,1,1,1,5,75,61,5,73,75,89,4,7,1,3,3,0.0
199,86279,2,1,1,1,11,547,30,11,538,472,3332,14,27,1,2,2,1.0
200,53951,1,1,3,3,3,3,59,3,3,3,762,1,24,1,5,3,0.0
201,31112,1,1,3,3,5,39,11,5,321,303,1244,4,4,1,2,3,0.0
202,1778,2,1,1,4,16,219,135,16,217,210,315,12,17,1,3,3,1.0
203,79489,1,1,4,1,15,107,54,15,104,101,274,6,81,1,3,3,1.0
204,77277,2,1,4,3,8,16,45,8,16,16,3056,2,2,3,4,5,1.0
205,87839,1,1,4,4,12,97,61,5,279,266,125,4,7,1,4,5,0.0
206,133917,1,1,1,5,5,409,67,5,405,441,141,5,42,1,4,3,1.0
207,112302,2,1,3,1,20,266,200,20,238,107,1988,15,112,1,2,3,1.0
208,81568,1,1,3,5,22,154,127,25,152,173,247,1,1,1,6,2,0.0
209,67340,1,1,4,3,14,241,247,14,243,233,125,7,10,1,4,2,0.0
210,30493,1,1,1,1,13,26,84,13,26,26,115,7,47,6,3,5,1.0
211,112095,1,1,1,3,23,248,192,22,251,239,5951,11,16,1,3,3,0.0
212,37937,2,1,3,1,13,189,59,13,187,384,930,9,21,1,3,3,1.0
213,90901,2,1,3,4,5,42,465,5,43,42,979,10,14,1,4,3,1.0
214,80178,2,1,1,3,5,11,382,5,11,11,1400,5,22,1,3,3,0.0
215,54348,1,1,1,1,11,490,30,11,482,431,1257,17,72,1,2,3,1.0
216,52555,1,1,1,1,6,8,1093,6,8,8,3206,9,76,1,2,3,0.0
217,143911,1,1,2,3,16,127,123,16,123,120,157,12,17,1,4,2,1.0
218,23777,1,1,1,5,7,13,100,7,13,13,121,4,4,1,2,5,0.0
219,66140,2,1,3,5,5,359,99,5,359,333,1426,19,40,1,4,3,0.0
220,94123,2,1,1,1,21,146,142,21,144,124,189,7,121,1,3,2,1.0
221,75459,2,1,3,3,14,40,258,14,455,414,6056,4,4,1,3,5,1.0
222,137144,1,1,2,1,8,372,65,8,403,423,1209,17,31,1,4,2,1.0
223,12267,2,1,2,3,14,336,247,14,335,313,585,24,67,1,3,3,1.0
224,44229,2,1,2,3,21,102,99,21,98,96,120,4,4,1,2,2,0.0
225,54458,2,1,3,1,3,357,87,3,357,35,1378,3,38,1,2,2,1.0
226,135802,2,1,1,1,3,357,168,3,357,35,1327,6,6,12,3,2,0.0
227,88697,1,1,4,3,3,6,436,3,6,6,4249,7,11,9,3,2,0.0
228,2333,1,1,2,1,10,536,404,10,528,444,1633,5,42,1,2,3,1.0
229,130360,1,1,1,3,6,8,4,6,8,8,5877,4,4,1,3,3,0.0
230,110609,1,1,3,3,5,348,1274,28,215,208,3878,4,4,1,5,3,0.0
231,118145,1,1,4,1,1,239,54,1,622,231,2953,5,22,1,1,2,0.0
232,78437,2,1,3,5,13,122,1235,13,131,126,3718,9,36,1,3,5,1.0
233,80081,1,1,3,3,9,77,169,9,75,154,4078,1,1,1,5,5,1.0
234,143922,1,1,3,4,3,6,401,3,6,6,4900,7,11,1,6,3,0.0
235,26354,1,1,3,5,20,316,458,20,647,62,5366,1,1,1,3,2,1.0
236,1677,2,1,3,3,11,242,562,11,244,234,1266,4,4,8,3,3,1.0
237,132453,2,1,3,1,20,202,186,20,199,174,276,4,132,1,3,3,1.0
238,54116,1,1,2,3,16,396,123,16,396,120,1206,2,15,1,4,3,1.0
239,119325,2,1,1,3,4,430,377,4,421,489,5073,3,20,1,2,3,1.0
240,70651,1,1,3,1,22,73,14,25,419,388,946,1,24,1,5,3,1.0
241,57731,1,1,3,1,22,138,259,25,135,130,3171,1,24,1,3,3,0.0
242,46401,1,1,4,3,12,265,2091,12,381,163,6803,1,1,1,1,2,0.0
243,105059,1,1,1,1,21,99,30,21,392,361,778,7,62,1,1,2,1.0
244,92502,1,1,4,3,15,173,266,15,170,98,463,1,1,1,4,2,0.0
245,79883,1,1,4,3,7,13,133,7,13,13,4080,1,1,1,4,2,0.0
246,86885,1,1,1,1,18,631,142,18,621,263,3200,7,62,5,4,5,1.0
247,117697,2,1,2,3,9,203,19,9,18,18,1114,9,36,1,3,3,1.0
248,118633,1,1,3,3,18,251,123,18,253,242,801,7,52,1,2,2,1.0
249,74177,1,1,1,1,9,436,59,9,425,391,966,2,60,1,3,3,1.0
250,119859,2,1,3,3,22,439,87,25,135,130,1542,3,20,1,5,2,0.0
251,23604,1,1,3,1,21,384,67,21,669,352,141,8,28,1,3,3,1.0
252,118414,2,1,3,3,15,344,1405,15,223,216,4365,3,9,1,3,3,1.0
253,98908,1,1,3,3,5,345,597,5,343,320,1372,7,11,1,3,2,0.0
254,74437,2,1,4,7,15,485,787,15,477,429,7363,3,45,1,4,2,1.0
255,74553,1,1,3,4,4,430,140,4,421,489,512,7,10,1,4,3,0.0
256,122972,1,1,3,3,4,473,748,4,465,485,1890,16,97,1,6,3,0.0
257,34815,2,1,1,1,5,180,45,5,402,371,955,9,35,1,4,3,1.0
258,122810,1,1,3,8,8,287,197,8,286,179,3618,3,9,1,2,3,0.0
259,112708,1,1,1,1,11,383,19,11,377,351,997,6,6,1,5,5,1.0
260,57225,1,1,3,5,20,116,787,20,450,110,3104,1,1,2,4,3,0.0
261,18519,2,1,1,1,23,81,38,22,314,298,1759,5,80,1,4,2,1.0
262,130947,2,1,3,3,8,16,1134,8,16,16,3357,3,9,1,3,5,0.0
263,4980,1,1,3,1,9,614,19,9,613,513,2715,1,59,1,4,2,0.0
264,45672,2,1,1,5,5,346,11,5,344,321,1185,4,4,1,2,3,0.0
265,24930,2,1,1,3,6,79,244,6,77,78,404,3,38,1,3,3,1.0
266,41559,1,1,1,1,6,260,22,6,263,254,22,7,52,1,3,2,0.0
267,7460,1,1,1,3,8,106,363,8,102,99,703,3,9,1,2,3,1.0
268,94135,1,1,3,5,20,533,1150,20,525,161,3403,1,1,1,2,3,0.0
269,50664,1,1,3,2,23,194,377,22,314,298,3495,3,20,1,6,3,1.0
270,59668,1,1,1,1,6,68,87,6,67,69,422,1,24,1,3,2,1.0
271,56120,1,1,1,5,13,76,335,13,74,459,1526,3,9,12,3,5,0.0
272,113464,2,1,3,3,9,544,377,1,64,114,4280,3,20,1,4,3,1.0
273,124016,2,1,3,3,3,124,3,3,167,3,5820,3,3,1,2,2,0.0
274,128537,2,1,3,3,13,310,59,13,172,367,803,4,4,1,3,3,0.0
275,22375,1,1,1,5,5,294,531,5,279,266,1171,3,45,1,3,3,0.0
276,89493,1,1,3,3,13,26,26,13,176,167,3427,10,65,2,3,5,0.0
277,20119,2,1,3,1,18,216,59,18,336,206,746,9,35,1,3,3,0.0
278,46541,1,1,3,3,3,78,1369,3,76,6,4235,3,9,1,4,3,1.0
279,9045,1,1,3,7,3,78,345,15,46,45,3808,1,1,1,7,2,0.0
280,88734,1,1,1,3,16,164,51,16,50,49,53,5,77,1,3,3,1.0
281,67784,1,1,1,3,8,300,11,8,301,89,483,27,126,1,6,2,1.0
282,141292,2,1,1,3,9,250,19,9,252,241,2176,3,9,1,4,5,1.0
283,22631,2,1,1,3,21,517,87,21,501,450,1441,5,66,1,5,3,0.0
284,110384,2,1,1,1,5,115,396,5,227,442,779,18,88,12,2,3,1.0
285,139020,1,1,1,3,3,69,616,3,68,4,3575,15,32,1,2,2,0.0
286,25867,2,1,1,3,6,8,33,6,8,8,4536,4,7,14,4,3,0.0
287,44503,2,1,2,1,17,503,135,17,510,454,1488,9,21,1,3,3,1.0
288,139973,1,1,1,3,16,261,89,16,431,395,2218,7,11,1,3,2,1.0
289,24757,2,1,1,3,6,369,99,6,366,340,692,3,20,1,3,3,1.0
290,9580,1,1,3,3,5,359,581,5,359,333,1309,3,9,1,3,3,1.0
291,101927,2,1,3,3,5,56,567,5,103,191,3949,11,30,1,3,5,0.0
292,79594,2,1,3,3,14,311,258,14,335,313,3137,22,57,1,3,4,0.0
293,43503,2,6,3,3,12,23,1231,12,23,23,3709,13,6,1,3,3,1.0
294,7973,1,1,3,5,12,172,132,12,57,58,171,3,9,1,2,3,1.0
295,139764,2,1,1,3,8,407,397,8,301,89,4053,26,119,1,3,2,1.0
296,58509,2,2,3,1,5,101,1813,5,190,334,5882,13,24,1,6,2,0.0
297,78565,1,1,3,3,13,306,84,13,106,292,498,17,31,18,4,3,0.0
298,144703,1,1,4,1,13,189,59,13,187,384,930,9,21,1,2,3,0.0
299,768,2,1,4,1,23,194,38,22,191,185,313,6,41,1,2,3,1.0
300,107283,1,1,3,5,1,14,14,1,14,123,424,6,41,3,4,5,0.0
301,35139,1,1,1,3,3,4,63,3,4,4,4814,1,1,2,4,3,1.0
302,84244,1,1,3,1,15,556,30,15,548,268,1831,17,72,1,2,2,1.0
303,70042,2,1,3,1,3,41,49,3,41,41,51,9,13,1,2,3,1.0
304,58541,2,1,1,3,1,65,54,1,64,114,4230,6,6,1,2,3,0.0
305,106657,2,1,3,4,8,230,434,8,209,157,875,11,79,1,3,3,1.0
306,18436,1,1,1,3,1,190,259,1,188,1,760,3,9,1,3,3,0.0
307,29668,2,1,4,3,9,277,658,9,429,393,1591,11,79,1,3,3,1.0
308,33806,1,1,3,3,8,16,397,8,16,16,6004,4,4,1,3,3,1.0
309,144782,1,1,4,3,17,67,74,17,66,68,80,6,6,1,4,3,0.0
310,87270,2,1,1,1,5,201,870,5,219,43,2291,12,17,1,3,3,1.0
311,131667,1,1,3,3,21,491,99,21,483,432,1261,5,5,1,4,5,0.0
312,135571,1,1,3,1,5,126,1173,5,412,119,3484,5,5,1,1,3,1.0
313,1764,1,1,4,3,8,91,262,8,290,275,454,12,17,1,3,2,1.0
314,77331,2,1,3,3,18,216,59,18,336,206,746,3,9,1,3,5,1.0
315,137135,2,1,3,3,13,419,59,13,331,311,1076,15,139,1,3,2,0.0
316,9459,2,1,3,3,13,176,26,13,176,481,2029,10,65,12,3,2,0.0
317,9750,2,1,1,3,6,140,43,6,137,133,3968,5,5,1,3,5,1.0
318,12349,2,1,1,3,1,114,136,1,111,108,2415,5,42,8,3,5,0.0
319,85248,1,2,4,1,5,56,1003,5,103,100,3320,13,85,16,6,2,1.0
320,90376,1,1,4,3,8,206,673,8,203,196,1647,7,11,1,3,2,1.0
321,52073,1,1,4,3,22,155,1,25,153,148,200,5,42,1,3,5,0.0
322,109122,2,1,3,3,15,263,232,15,221,214,2826,3,20,1,7,3,0.0
323,86764,2,1,1,3,22,138,54,25,135,130,175,3,9,1,3,2,1.0
324,22743,2,1,3,7,15,96,590,15,93,45,5620,3,19,6,3,3,0.0
325,123852,1,1,1,3,16,164,1819,16,354,329,5908,17,96,14,2,5,1.0
326,77064,1,1,3,3,18,216,59,18,336,206,746,7,10,1,5,5,0.0
327,94439,1,1,1,3,3,158,43,3,280,41,432,11,30,1,3,2,0.0
328,146294,1,1,1,1,19,297,701,19,296,93,2748,29,98,1,2,2,1.0
329,80643,2,1,3,3,13,414,59,13,410,379,882,9,35,1,4,3,1.0
